symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CCDC106	-0.48008	7.0324	-3.0873	0.013753	0.066839	-3.4506
CRTC1	-0.31748	7.6974	-3.087	0.01376	0.066839	-3.4511
PIR	-1.1717	5.5456	-3.0846	0.013811	0.06705	-3.4549
BLM	0.43881	5.2065	3.0821	0.013867	0.067281	-3.459
FOSL2	0.50323	8.5598	3.0813	0.013883	0.067324	-3.4602
CASP10	-0.46005	5.3716	-3.0801	0.01391	0.067415	-3.4622
ALG3	-0.42207	7.9549	-3.0775	0.013969	0.067636	-3.4664
PTOV1-AS1	0.57731	5.7748	3.0771	0.013976	0.067636	-3.467
LY96	-0.52719	9.1071	-3.077	0.013979	0.067636	-3.4672
NNT	-0.77898	4.0851	-3.076	0.014001	0.067704	-3.4688
MRPL23	-0.65608	8.23	-3.0736	0.014053	0.06787	-3.4726
KIF22	-0.28348	6.4095	-3.0735	0.014056	0.06787	-3.4728
ATXN2L	-0.31452	8.1346	-3.0734	0.014059	0.06787	-3.473
VRK2	1.0515	7.7515	3.072	0.01409	0.067982	-3.4753
S100B	0.29409	5.0272	3.0707	0.014118	0.068081	-3.4773
POLD1	-0.61963	7.1881	-3.0696	0.014144	0.068164	-3.4791
BEST1	-0.41277	6.02	-3.069	0.014156	0.068185	-3.48
ALDH1A3	0.28948	3.3008	3.0678	0.014182	0.068274	-3.4819
MAP4K4	0.72581	6.3404	3.0671	0.014199	0.068317	-3.4831
ST8SIA3	0.2511	3.4824	3.066	0.014223	0.068383	-3.4848
BAHD1	-0.26791	6.5483	-3.0658	0.014229	0.068383	-3.4852
STARD13	-1.1068	4.3058	-3.0653	0.014238	0.068391	-3.4859
PPP6R2	-0.29168	5.8001	-3.0647	0.014252	0.068421	-3.4869
ATP6V1H	0.63943	6.6204	3.0637	0.014275	0.068465	-3.4885
MFAP5	0.28225	2.9806	3.0636	0.014277	0.068465	-3.4887
TNFSF10	-1.6862	6.5554	-3.0621	0.01431	0.068569	-3.491
CTNNB1	0.90144	9.3824	3.0617	0.014321	0.068569	-3.4918
IRAK1	0.68796	8.3708	3.0611	0.014333	0.068569	-3.4927
IFIT1	-1.7202	7.4374	-3.0609	0.014338	0.068569	-3.4931
DTNB	-0.3961	7.0252	-3.0605	0.014347	0.068569	-3.4937
HSPA1B	0.87634	7.9258	3.0602	0.014354	0.068569	-3.4941
PGK1	0.77353	9.2489	3.0599	0.01436	0.068569	-3.4946
MAP2K1	0.33816	8.3864	3.0598	0.014363	0.068569	-3.4948
PSAP	-0.26361	12.513	-3.0592	0.014375	0.068592	-3.4957
RNF19B	-1.1109	8.473	-3.0585	0.014391	0.068601	-3.4968
CD69	1.3222	4.8709	3.0584	0.014393	0.068601	-3.497
BAP1	-0.24942	7.3426	-3.0552	0.014467	0.068914	-3.5021
MEF2A	0.54214	7.6822	3.0529	0.01452	0.069126	-3.5058
RPS27A	0.31675	10.505	3.0525	0.014528	0.069128	-3.5064
TPM4	-0.82885	8.0687	-3.0516	0.01455	0.069195	-3.508
NDEL1	0.4381	7.1638	3.0509	0.014566	0.069233	-3.5091
GCG	0.28368	4.5068	3.0498	0.014591	0.069315	-3.5109
EXOC6B	0.30614	4.3868	3.0483	0.014626	0.069425	-3.5133
GPS2	-0.52358	7.6482	-3.0481	0.014631	0.069425	-3.5136
RGS9	-0.31519	6.1429	-3.0474	0.014647	0.069463	-3.5147
UQCR11	-0.52271	9.3316	-3.0464	0.014669	0.069506	-3.5163
ANXA5	0.50535	10.276	3.0463	0.014672	0.069506	-3.5165
STAT1	0.95553	8.3386	3.0451	0.014699	0.069585	-3.5184
ACOT8	-0.59305	6.0353	-3.0449	0.014705	0.069585	-3.5187
FAM172A	-0.3309	6.9875	-3.0439	0.014727	0.069653	-3.5203
DLGAP4	-0.34754	7.2136	-3.0427	0.014754	0.069742	-3.5221
EIF4B	-0.35008	8.4904	-3.0407	0.014802	0.06993	-3.5254
OSGEP	-0.49914	5.4946	-3.0396	0.014828	0.070013	-3.5272
SMG5	-0.32362	6.3634	-3.039	0.014841	0.070038	-3.5281
SERPINH1	0.44818	5.8414	3.0385	0.014854	0.070059	-3.529
ZNF165	0.42864	2.9412	3.0379	0.014868	0.070089	-3.53
NFKBIB	-0.46991	6.3082	-3.0352	0.014931	0.070325	-3.5343
ZBTB33	0.30943	4.8156	3.0349	0.014937	0.070325	-3.5347
CDK10	-0.31566	7.0183	-3.0347	0.014943	0.070325	-3.5351
ADAMTS3	0.40864	3.3334	3.0341	0.014957	0.07034	-3.536
RAD23B	0.24203	5.3351	3.0339	0.014962	0.07034	-3.5364
RPL13	0.30258	10.708	3.0334	0.014973	0.070353	-3.5371
PCCB	-0.78881	5.6481	-3.0323	0.015	0.070442	-3.539
IFT27	-0.52981	5.5942	-3.0294	0.015068	0.070724	-3.5436
C1D	0.44513	9.1881	3.0252	0.015168	0.071153	-3.5503
TAF12	-0.35163	5.3244	-3.0243	0.01519	0.071215	-3.5517
NCAPD3	-0.27366	4.7305	-3.023	0.015222	0.07131	-3.5539
PITRM1	-0.73159	6.5919	-3.0228	0.015226	0.07131	-3.5542
CLEC10A	-1.2802	7.1431	-3.021	0.01527	0.071474	-3.5571
TNFAIP6	2.3752	7.2499	3.0188	0.015323	0.071683	-3.5606
MED13L	0.65796	7.3739	3.0183	0.015335	0.0717	-3.5614
PSKH1	-0.34007	7.4129	-3.0178	0.015346	0.071713	-3.5621
ASXL3	0.32756	2.4681	3.0172	0.015362	0.071751	-3.5632
RAD21	0.50525	8.9019	3.016	0.01539	0.071817	-3.5651
HEXA	-0.69019	5.3998	-3.0156	0.015401	0.071817	-3.5658
PLA2G16	0.36604	4.9932	3.0156	0.015401	0.071817	-3.5658
DDX11	-0.26781	6.678	-3.0146	0.015424	0.071852	-3.5673
BMP5	0.31749	4.0638	3.0146	0.015425	0.071852	-3.5674
NFKBIL1	-0.40618	5.2934	-3.011	0.015513	0.072221	-3.5732
ULK2	-0.4249	4.5491	-3.0101	0.015536	0.072288	-3.5746
PHF1	0.3598	8.3489	3.0096	0.015548	0.072305	-3.5754
FCN1	-1.3274	9.5434	-3.0088	0.015567	0.072353	-3.5767
COPA	-0.29001	8.6745	-3.0078	0.015591	0.072428	-3.5783
HLA-DQB1	0.46617	6.5467	3.0063	0.015629	0.072567	-3.5807
AIM2	0.53382	4.122	3.0048	0.015665	0.072692	-3.583
CKM	0.26225	4.4308	3.0029	0.015712	0.07287	-3.5861
ZNF80	0.27854	3.0726	3.0017	0.015742	0.07297	-3.588
GPM6A	0.37926	3.1415	3	0.015785	0.073131	-3.5908
PRKAA1	0.45284	4.6746	2.9981	0.015831	0.073306	-3.5938
SLC16A6	1.665	8.5142	2.9972	0.015855	0.073378	-3.5953
ZKSCAN4	-0.43796	5.4242	-2.9959	0.015887	0.073467	-3.5974
KAT8	-0.26321	7.0148	-2.9956	0.015896	0.073467	-3.5979
DYRK3	0.90074	4.5945	2.9954	0.0159	0.073467	-3.5982
XRCC5	-0.31967	8.3623	-2.994	0.015935	0.073585	-3.6004
AP4M1	-0.32817	5.4622	-2.9937	0.015943	0.073585	-3.6009
TRAFD1	-0.3364	7.6921	-2.9919	0.015988	0.073756	-3.6038
ATP6V1D	0.51058	8.0908	2.9911	0.016009	0.073798	-3.6051
COLGALT2	-0.29665	5.2198	-2.9907	0.016018	0.073798	-3.6057
ZIC3	0.25826	2.8812	2.9905	0.016023	0.073798	-3.606
ARID4B	0.28476	6.1659	2.9897	0.016044	0.073854	-3.6073
VOPP1	0.80186	9.1027	2.9893	0.016053	0.073857	-3.6079
ARL2	-0.28635	6.8931	-2.9883	0.01608	0.07394	-3.6096
CCDC88C	0.30564	6.1585	2.988	0.016088	0.07394	-3.6101
RGR	-0.32621	4.8537	-2.9852	0.01616	0.074224	-3.6146
PRKACB	-1.2179	6.1962	-2.9849	0.016167	0.074224	-3.6151
FUBP1	0.5782	6.4487	2.9825	0.016229	0.074468	-3.619
AP2M1	-0.60531	10.476	-2.9804	0.016281	0.074661	-3.6222
STT3A	0.57842	6.7375	2.98	0.016292	0.074661	-3.6229
KRT2	0.21654	5.7638	2.9798	0.016297	0.074661	-3.6232
ATP6V1E1	0.34924	8.8026	2.9762	0.016391	0.075052	-3.6291
JRK	-0.34714	5.8297	-2.9744	0.016438	0.075227	-3.632
PBX2	-0.74629	5.0116	-2.9716	0.016509	0.075514	-3.6364
SNRPC	-0.39172	7.9415	-2.9697	0.01656	0.075677	-3.6395
CAPRIN1	-0.4002	7.0976	-2.9696	0.016563	0.075677	-3.6396
RAE1	0.36044	7.6605	2.9671	0.016629	0.075938	-3.6437
TEF	-0.22245	4.1815	-2.9664	0.016646	0.075943	-3.6447
PSMC6	0.78873	7.4972	2.966	0.016658	0.075943	-3.6455
SH3GLB1	0.42431	7.3682	2.9659	0.016659	0.075943	-3.6455
CA5B	0.21701	4.8934	2.9657	0.016665	0.075943	-3.6459
CCR6	0.30005	3.0881	2.9641	0.016707	0.076096	-3.6484
VSTM4	0.25236	5.4087	2.9608	0.016795	0.076455	-3.6538
B3GAT3	-0.24722	5.653	-2.959	0.016842	0.076628	-3.6566
GCNT1	-0.58444	5.0266	-2.9577	0.016879	0.076757	-3.6588
EXOSC2	-0.25003	5.4413	-2.9562	0.016917	0.076889	-3.6611
TRIM66	-0.31021	5.7802	-2.9539	0.01698	0.077063	-3.6649
MPHOSPH8	0.28713	5.6021	2.9538	0.016982	0.077063	-3.665
ABCC5	-1.7415	6.8984	-2.9538	0.016982	0.077063	-3.665
PPM1F	-0.33254	7.2892	-2.953	0.017004	0.077123	-3.6663
IAH1	0.30789	5.9257	2.9514	0.017046	0.077226	-3.6688
IPO13	-0.31772	5.8598	-2.9514	0.017048	0.077226	-3.669
EIF2B2	0.49775	7.47	2.9512	0.017054	0.077226	-3.6693
NEU1	-0.36071	8.3407	-2.9489	0.017115	0.077451	-3.6729
PMM1	-0.28718	6.9656	-2.9487	0.017121	0.077451	-3.6733
LOC155060	-0.40181	5.6295	-2.9482	0.017134	0.077468	-3.674
DNPEP	-0.42212	7.9214	-2.9478	0.017146	0.077481	-3.6747
MARCH7	0.41974	7.633	2.9453	0.017214	0.077687	-3.6788
TM9SF4	-0.81526	5.4428	-2.9451	0.017218	0.077687	-3.679
ID3	-0.81613	7.5455	-2.9451	0.017219	0.077687	-3.679
ROBO1	-0.2935	2.4711	-2.9438	0.017253	0.077801	-3.681
GRB10	0.73181	6.7711	2.9422	0.017297	0.077927	-3.6836
MCF2L	0.2691	6.9732	2.9422	0.017299	0.077927	-3.6837
TNFSF8	-0.6787	5.7874	-2.9414	0.017319	0.077976	-3.6849
CPE	0.21709	2.4865	2.9403	0.017349	0.078072	-3.6867
MKNK2	-0.32964	5.3625	-2.9398	0.017365	0.0781	-3.6876
TRIP10	-0.71276	6.7005	-2.9389	0.017388	0.078163	-3.6889
RNF6	0.70221	8.4792	2.9379	0.017417	0.078254	-3.6906
RNF167	-0.43341	7.7225	-2.9358	0.017474	0.078469	-3.6939
SPPL2B	-0.3966	6.901	-2.9349	0.017499	0.07854	-3.6954
CDC42EP4	0.25652	6.5512	2.9341	0.01752	0.078585	-3.6966
ARL6IP1	0.37968	8.5222	2.9339	0.017527	0.078585	-3.697
CYP1B1	0.79608	10.584	2.933	0.017552	0.078655	-3.6984
CXCL8	1.9201	10.689	2.9315	0.017595	0.07873	-3.7009
CHI3L2	0.34941	5.5794	2.9315	0.017595	0.07873	-3.7009
INTS10	-0.50422	5.6807	-2.9314	0.017596	0.07873	-3.701
MAPK8IP3	-0.44381	8.3571	-2.9304	0.017626	0.078805	-3.7027
PLEKHM2	-0.70459	9.0493	-2.9302	0.017631	0.078805	-3.703
PRUNE2	-0.38213	3.8004	-2.9281	0.01769	0.07903	-3.7064
CD27	0.70758	5.1542	2.9272	0.017713	0.079091	-3.7077
POLD4	-0.32434	7.9344	-2.9266	0.017732	0.079133	-3.7088
BPHL	-0.30299	7.1048	-2.9251	0.017773	0.079244	-3.7111
PDCD6	-0.37937	8.6254	-2.925	0.017775	0.079244	-3.7113
ADAM2	0.26216	2.4421	2.924	0.017803	0.079252	-3.7129
CIC	-0.54223	7.6888	-2.9239	0.017808	0.079252	-3.7132
XRCC6	0.23809	8.8427	2.9239	0.017809	0.079252	-3.7132
MARCH2	-0.43517	5.7995	-2.9232	0.017826	0.079252	-3.7142
TEX41	0.22393	3.2205	2.923	0.017834	0.079252	-3.7146
ZNF148	0.36872	7.0687	2.9229	0.017835	0.079252	-3.7147
RAD51AP1	-0.60643	4.1945	-2.9227	0.017841	0.079252	-3.715
ERCC1	-0.41432	6.5454	-2.9183	0.017965	0.079761	-3.722
LIG1	-0.30888	6.6276	-2.9175	0.017989	0.079813	-3.7234
EIF4E	1.1267	5.1911	2.9173	0.017995	0.079813	-3.7237
ZNF688	-0.45529	6.3023	-2.9149	0.018062	0.080069	-3.7275
HCP5	0.43353	4.2028	2.9144	0.018079	0.080092	-3.7284
IRF2BP1	-0.35783	6.8406	-2.9139	0.018093	0.080092	-3.7292
DGKD	-0.36801	7.5519	-2.9138	0.018095	0.080092	-3.7293
TCHH	0.28965	3.5191	2.9128	0.018125	0.080182	-3.731
RNF216	-0.25398	3.0785	-2.9108	0.018183	0.080397	-3.7342
CREM	1.3288	7.6984	2.9089	0.018236	0.080551	-3.7372
TSNAX	-0.94602	6.7538	-2.9087	0.018242	0.080551	-3.7375
COX7A2	0.54302	10.129	2.9085	0.018249	0.080551	-3.7379
LMNA	1.0334	8.0122	2.9083	0.018255	0.080551	-3.7382
KRR1	0.64331	4.0875	2.9075	0.018277	0.080607	-3.7395
MNDA	-1.2247	7.8996	-2.9056	0.018331	0.080804	-3.7424
TPI1	0.36385	8.9183	2.9039	0.018381	0.080982	-3.7452
ERBB4	0.23071	3.1717	2.9026	0.018419	0.081076	-3.7473
PRPF4B	0.28875	5.4418	2.9026	0.018421	0.081076	-3.7474
ALOX15	0.27094	6.7498	2.9021	0.018435	0.081094	-3.7481
DNAJC11	-0.29209	7.3323	-2.9017	0.018447	0.081105	-3.7488
KAT2A	-0.42915	7.2289	-2.8992	0.018519	0.081383	-3.7528
INHBA	0.38007	4.0278	2.8971	0.018581	0.081612	-3.7561
FOXK2	-0.24812	5.984	-2.896	0.018614	0.081689	-3.7579
SPRY1	0.26816	5.149	2.8959	0.018617	0.081689	-3.7581
ASGR1	-0.48979	6.8847	-2.8951	0.01864	0.081692	-3.7593
CD44	1.0615	9.1119	2.8949	0.018646	0.081692	-3.7597
CTSZ	-0.80166	6.798	-2.8948	0.018651	0.081692	-3.7599
RABGAP1	-0.74564	6.377	-2.8946	0.018656	0.081692	-3.7602
ICOS	0.4122	4.6123	2.8924	0.018721	0.081937	-3.7637
CD22	-0.47317	5.3985	-2.892	0.018733	0.081947	-3.7644
UAP1	1.2225	5.2452	2.8911	0.018759	0.081994	-3.7658
PSMA3	0.83711	9.3676	2.8904	0.018781	0.081994	-3.767
DNPH1	-0.30121	6.7152	-2.89	0.018793	0.081994	-3.7676
UCP3	-0.38394	5.6599	-2.8899	0.018795	0.081994	-3.7677
TUBB2B	0.24075	5.6709	2.8898	0.0188	0.081994	-3.768
USP11	-0.30358	8.672	-2.8897	0.018801	0.081994	-3.768
CYTH1	0.58945	9.0237	2.8877	0.01886	0.082211	-3.7712
MADCAM1	-0.32427	8.6859	-2.8853	0.018933	0.082432	-3.7751
AIFM1	-0.71636	5.685	-2.8852	0.018936	0.082432	-3.7752
LIG4	0.5485	5.3215	2.8851	0.01894	0.082432	-3.7755
KCNV1	0.2439	2.0565	2.8842	0.018967	0.082463	-3.7769
CUL1	0.61427	7.6833	2.884	0.018972	0.082463	-3.7772
DPY19L4	-0.4678	5.2667	-2.8839	0.018976	0.082463	-3.7774
ESD	-0.30348	7.6725	-2.8835	0.018986	0.082469	-3.778
KIR2DL4	0.48685	5.4005	2.8826	0.019014	0.082499	-3.7794
FGG	0.34704	2.6628	2.8823	0.019024	0.082499	-3.78
CD28	-0.85514	3.4388	-2.8816	0.019045	0.082499	-3.7811
CDKN2A	0.29142	3.6001	2.8812	0.019058	0.082499	-3.7818
SLC22A4	0.89997	5.8085	2.881	0.019063	0.082499	-3.782
MOCS3	-0.26621	4.8566	-2.8809	0.019067	0.082499	-3.7823
NSDHL	-0.33154	6.7403	-2.8808	0.019069	0.082499	-3.7823
KDM3B	-0.37036	5.5237	-2.8808	0.01907	0.082499	-3.7824
PHKA2	-0.28701	6.2457	-2.8786	0.019136	0.082745	-3.7859
TGFB2	0.28804	3.3268	2.8776	0.019167	0.08281	-3.7875
CHRNA5	0.28169	2.878	2.8775	0.019171	0.08281	-3.7877
PGAP2	-0.34246	5.9965	-2.8757	0.019226	0.08301	-3.7907
PWP2	-0.38741	5.5753	-2.8746	0.019257	0.083101	-3.7923
NADK	-0.57829	7.9433	-2.8713	0.019359	0.083499	-3.7976
RAN	0.7504	9.8366	2.8709	0.019372	0.083511	-3.7983
NECAP1	0.77449	6.6853	2.8706	0.019382	0.083514	-3.7988
ATP13A3	1.2742	10.087	2.8699	0.019402	0.083528	-3.7998
CLK3	0.34167	7.4275	2.8696	0.019413	0.083528	-3.8004
INE2	0.33748	3.3448	2.8695	0.019414	0.083528	-3.8005
KRT5	0.25262	4.9438	2.8689	0.019433	0.083568	-3.8015
SNRPA1	0.5978	6.5649	2.8676	0.019475	0.083706	-3.8036
DFFA	-0.37081	6.2539	-2.8672	0.019486	0.083709	-3.8042
HMGCS2	0.25922	5.4985	2.8661	0.019521	0.083757	-3.806
STX10	-0.44015	8.1153	-2.8658	0.01953	0.083757	-3.8065
NDUFAF3	-0.4226	8.3865	-2.8657	0.019533	0.083757	-3.8066
PDIA3	0.42308	9.0984	2.8654	0.019544	0.083757	-3.8072
RPS15	0.33202	10.024	2.8643	0.019576	0.083757	-3.8089
RMND5A	0.59021	7.0923	2.8638	0.019593	0.083757	-3.8097
CSRNP2	0.70437	5.5539	2.863	0.019616	0.083757	-3.8109
KAT2B	0.46541	4.6005	2.8629	0.019622	0.083757	-3.8112
SEC24B	0.69583	7.6842	2.8627	0.019626	0.083757	-3.8114
PEX10	-0.34906	6.4905	-2.8627	0.019626	0.083757	-3.8114
FAM63B	0.26526	3.8943	2.8627	0.019628	0.083757	-3.8115
LPP	-0.24549	3.7171	-2.8627	0.019628	0.083757	-3.8116
ARID1A	-0.35559	6.4969	-2.8621	0.019644	0.083757	-3.8124
CD200	0.59949	5.4758	2.8621	0.019647	0.083757	-3.8125
KIF1C	-0.28377	8.6255	-2.862	0.019647	0.083757	-3.8125
SYMPK	-0.54032	5.6732	-2.8619	0.019652	0.083757	-3.8128
ARID4A	-0.37919	4.8922	-2.8586	0.019755	0.084117	-3.8181
SAP18	0.96342	6.942	2.8586	0.019756	0.084117	-3.8181
GOLGA1	-0.4952	5.3264	-2.8581	0.019771	0.084141	-3.8189
ADCYAP1	0.27914	5.1991	2.8565	0.019821	0.084283	-3.8214
UBXN7	0.60206	6.8197	2.8563	0.019829	0.084283	-3.8218
AIP	-0.34493	7.1107	-2.8561	0.019834	0.084283	-3.8221
FANCL	0.77542	4.641	2.8546	0.019882	0.084415	-3.8245
NME5	0.27032	4.585	2.8545	0.019885	0.084415	-3.8247
SLC7A1	0.92042	6.0015	2.854	0.019899	0.084435	-3.8254
HOMER1	0.61843	3.6643	2.8526	0.019946	0.084585	-3.8278
DYNC1H1	0.50008	8.0952	2.8523	0.019954	0.084585	-3.8282
ICK	-0.74922	2.9961	-2.849	0.020058	0.084975	-3.8334
INVS	-0.30706	3.9719	-2.8488	0.020066	0.084975	-3.8338
PDE4DIP	1.0326	7.2496	2.8453	0.020179	0.085411	-3.8395
RBM10	-0.22837	6.7992	-2.8444	0.020207	0.085449	-3.8409
CTSF	-0.31574	5.6434	-2.8444	0.020208	0.085449	-3.8409
PSMC1	0.75097	10.1	2.8417	0.020296	0.085779	-3.8453
TFF2	-0.25092	4.6666	-2.8387	0.020392	0.08611	-3.8501
CORO1A	-1.1424	8.1357	-2.8384	0.0204	0.08611	-3.8505
DNAJC2	0.92911	4.6216	2.8383	0.020404	0.08611	-3.8507
NXF1	0.5226	8.9941	2.837	0.020448	0.086208	-3.8529
RBMX2	-0.31137	5.5589	-2.8365	0.020463	0.086208	-3.8536
BST2	-0.8081	8.1771	-2.8361	0.020476	0.086208	-3.8542
CCDC86	-0.2756	5.6661	-2.8361	0.020478	0.086208	-3.8543
SMC2	-0.41339	3.5239	-2.8358	0.020485	0.086208	-3.8547
FOXA2	0.21963	5.1141	2.8358	0.020487	0.086208	-3.8548
CBY1	-0.28578	5.3707	-2.8347	0.020522	0.086315	-3.8565
PCCA	-0.36493	5.1865	-2.8331	0.020575	0.086452	-3.8591
LOX	0.23412	3.9915	2.8331	0.020575	0.086452	-3.8591
F5	0.79786	3.5478	2.8324	0.020599	0.086509	-3.8603
COPS6	-0.26091	8.452	-2.8317	0.020622	0.086563	-3.8614
MCM6	-0.83057	7.0834	-2.8307	0.020654	0.086565	-3.863
ALOX5AP	1.1638	8.4233	2.8307	0.020655	0.086565	-3.863
SEC61G	0.45194	8.3218	2.8305	0.020659	0.086565	-3.8632
KPNA3	0.32784	7.0252	2.8304	0.020662	0.086565	-3.8634
FADD	0.28577	7.752	2.8301	0.020674	0.08657	-3.8639
IKBKE	-0.35691	6.16	-2.8287	0.02072	0.086721	-3.8662
AKT2	-0.33304	5.8712	-2.8279	0.020745	0.086785	-3.8674
TPR	-0.27271	7.6459	-2.827	0.020774	0.086864	-3.8688
GPD1L	-0.42728	5.5798	-2.8264	0.020796	0.086912	-3.8699
VAMP2	-0.63178	7.5507	-2.8241	0.02087	0.087178	-3.8735
LITAF	0.41197	10.34	2.8239	0.02088	0.087178	-3.8739
NOP2	-0.52447	5.7507	-2.8227	0.020917	0.087258	-3.8757
RXRB	-0.42801	6.3782	-2.8227	0.020919	0.087258	-3.8758
STX8	-0.49968	6.4822	-2.8204	0.020996	0.087539	-3.8795
MPRIP	-0.26828	6.0381	-2.8198	0.021015	0.087563	-3.8805
TMED1	-0.45985	6.1213	-2.8196	0.021022	0.087563	-3.8808
PPT1	-0.56547	9.6661	-2.819	0.021043	0.087604	-3.8818
UGCG	1.101	7.2968	2.8154	0.021162	0.088041	-3.8875
PPP2R5D	-0.33616	7.2864	-2.8153	0.021168	0.088041	-3.8877
HIST1H2BE	0.45094	6.339	2.8145	0.021192	0.088053	-3.8889
MXI1	-1.0105	8.0457	-2.8144	0.021197	0.088053	-3.8891
NOL4	0.36467	3.2767	2.8143	0.021201	0.088053	-3.8893
WBP4	0.58832	6.2948	2.8123	0.021268	0.088287	-3.8925
KAT6A	0.21062	6.9828	2.8117	0.021288	0.088327	-3.8934
LRRC37A3	-0.37996	5.8121	-2.8108	0.021318	0.088411	-3.8949
CYHR1	-0.22608	6.5897	-2.8093	0.02137	0.088585	-3.8973
ARSD	-0.38039	5.785	-2.8069	0.021453	0.088884	-3.9012
TCEAL4	-0.56631	6.5983	-2.8054	0.021503	0.089047	-3.9035
MORC3	0.54991	9.7319	2.805	0.021517	0.089065	-3.9042
CBFA2T2	-0.29906	6.4511	-2.8033	0.021577	0.08927	-3.907
MRPL40	-0.81708	6.0463	-2.8018	0.021627	0.089432	-3.9093
MEN1	-0.37634	6.333	-2.8001	0.021684	0.089628	-3.912
KBTBD2	0.46742	7.8271	2.7975	0.021777	0.089966	-3.9163
SNCG	-0.33885	7.616	-2.797	0.021795	0.089996	-3.9171
DPYD	-0.60807	7.9153	-2.7964	0.021815	0.090019	-3.9181
GTF2E2	0.42456	7.5623	2.7962	0.021821	0.090019	-3.9184
MYL6B	-0.42423	6.2884	-2.7952	0.021858	0.090129	-3.9201
SACS	-0.42656	3.8553	-2.7935	0.021915	0.090319	-3.9227
DNAJC16	-0.45821	5.6859	-2.7926	0.021947	0.090408	-3.9241
EDEM1	0.50554	8.1709	2.7903	0.022027	0.090662	-3.9278
ADRM1	-0.37534	8.5206	-2.7899	0.022042	0.090662	-3.9285
CTSH	-0.61655	10.538	-2.7897	0.02205	0.090662	-3.9289
RQCD1	0.49376	6.104	2.7897	0.02205	0.090662	-3.9289
RABIF	0.3998	7.3959	2.7883	0.022098	0.090813	-3.931
RFX5	-0.44974	6.0987	-2.7871	0.02214	0.090935	-3.933
ENPP1	0.2843	3.4955	2.7869	0.022148	0.090935	-3.9333
CTSE	0.29104	3.6839	2.7858	0.022188	0.091017	-3.9352
PRPF31	-0.22584	7.4518	-2.7857	0.02219	0.091017	-3.9352
RNF185-AS1	0.32923	6.2588	2.7853	0.022205	0.091038	-3.9359
KCNJ15	2.0204	4.2067	2.7844	0.022235	0.091119	-3.9373
ANP32A	-0.7328	8.4355	-2.7837	0.02226	0.091149	-3.9384
QRICH1	0.33374	4.2398	2.7836	0.022264	0.091149	-3.9386
HSPB3	0.2478	4.1261	2.7833	0.022275	0.091151	-3.9391
LGALS9	-0.51764	9.8055	-2.7822	0.022314	0.091267	-3.9408
PCNX	0.35948	3.9756	2.7804	0.022378	0.091431	-3.9437
SEC16A	-0.36182	8.6578	-2.7803	0.022382	0.091431	-3.9439
CRP	0.30806	3.9837	2.7802	0.022386	0.091431	-3.9441
SERPINA2	-0.23296	4.3466	-2.7798	0.022402	0.091453	-3.9448
DNM2	-0.63843	7.2348	-2.7792	0.022421	0.09149	-3.9457
DOK2	-0.81294	8.0973	-2.7784	0.022451	0.091566	-3.947
BCS1L	-0.29916	6.5503	-2.7779	0.022468	0.091592	-3.9478
CXCR6	1.2612	6.0885	2.7756	0.022549	0.091881	-3.9514
LCK	0.66761	6.0957	2.7748	0.022579	0.09196	-3.9527
CRYBG3	-0.29565	7.0848	-2.7741	0.022604	0.092016	-3.9538
PIGF	-0.58476	5.9242	-2.7727	0.022657	0.092172	-3.9562
UBXN1	-0.29774	7.9639	-2.7725	0.022663	0.092172	-3.9565
HCCS	0.43015	6.5467	2.7714	0.022703	0.092289	-3.9582
ZPR1	0.63703	7.4067	2.77	0.022753	0.092451	-3.9605
TLX2	-0.33201	7.0523	-2.7695	0.022774	0.09246	-3.9613
ANKRD26	-0.21585	3.0897	-2.7694	0.022777	0.09246	-3.9615
GYPC	-0.63694	7.5338	-2.7688	0.022796	0.092492	-3.9623
MAPK7	-0.38286	6.6752	-2.7665	0.022883	0.0928	-3.9661
CARM1	-0.3975	7.2541	-2.765	0.022935	0.09297	-3.9685
NR4A1	0.48049	5.8581	2.7644	0.022959	0.093024	-3.9695
CFI	0.24782	2.9048	2.7628	0.023016	0.093197	-3.972
MACF1	-0.4933	7.2673	-2.7624	0.02303	0.093197	-3.9726
KIAA0101	0.71444	4.5371	2.7623	0.023034	0.093197	-3.9728
USP2	-0.3076	4.8207	-2.7611	0.023081	0.093301	-3.9748
ICT1	-0.62872	4.5057	-2.761	0.023082	0.093301	-3.9749
PRICKLE3	-0.29192	6.4942	-2.7586	0.023173	0.0936	-3.9788
PDK2	-0.32846	6.4248	-2.7584	0.023178	0.0936	-3.9791
FASLG	0.41772	4.7912	2.7582	0.023188	0.0936	-3.9795
RPS7	0.27899	9.8552	2.7574	0.023217	0.093671	-3.9807
RNF10	0.49086	6.3775	2.7568	0.023238	0.093711	-3.9816
ARHGAP22	-0.30747	6.3645	-2.755	0.023307	0.093949	-3.9846
FAM53B	-0.81502	5.8399	-2.7541	0.02334	0.094036	-3.986
DTX4	0.39713	7.1268	2.7528	0.023387	0.094183	-3.9881
POLR2A	-0.57339	8.6424	-2.7506	0.023469	0.094396	-3.9916
DUT	-0.83651	7.4732	-2.7506	0.023471	0.094396	-3.9917
MGRN1	-0.28487	8.3519	-2.7505	0.023473	0.094396	-3.9918
TCF20	-0.3153	5.7186	-2.75	0.023493	0.094432	-3.9926
